X,Y,OBJECTID,FECHA_INCIDENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.0820434999999,4.61621280015161,5156,2025/01/20 00:00:00+00,4.6162128,-74.0820435,"Calle 22 con Carrera 22, sentido or?occ",Los Mártires,Choque simple,Automóvil particular (2)
-74.0720919999999,4.71098860015473,5157,2025/01/20 00:00:00+00,4.7109886,-74.072092,Carrera 33 con Calle 58 sur,Tunjuelito,Autolesionado,Motociclista lesionado (1)
-74.1078112,4.70632450015456,5158,2025/01/20 00:00:00+00,4.7063245,-74.1078112,Carrera 94 con Av Calle 80,Engativá,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1)
-74.0781550999999,4.60743060015134,5159,2025/01/20 00:00:00+00,4.6074306,-74.0781551,Calle 17 con Carrera 15,Los Mártires,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.1637949,4.61894660015175,5160,2025/01/20 00:00:00+00,4.6189466,-74.1637949,Calle 42G sur con Carrera 79A,Kennedy,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1303513,4.60673660015131,5161,2025/01/20 00:00:00+00,4.6067366,-74.1303513,Av Carrera 68 con Calle 31 sur,Kennedy,Choque con lesionado,Motociclista lesionado (2)
-74.1045687,4.68142310015378,5162,2025/01/20 00:00:00+00,4.6814231,-74.1045687,Autopista Sur con Carrera 75A,Bosa,Incendio estructural,Poste (1)
-74.0720919999999,4.71098860015473,5163,2025/01/20 00:00:00+00,4.7109886,-74.072092,"Vía Bogotá - La Calera con km 4,5",Chapinero,Choque con lesionado,Camión (1) - Motociclista lesionado (1)
-74.1618746,4.60232070015119,5164,2025/01/20 00:00:00+00,4.6023207,-74.1618746,"Autopista Sur con Av Ciudad de Villavicencio, sentido or?occ",Bosa,Choque con lesionado,Motociclista lesionado (2)
-74.0883487,4.61565220015162,5165,2025/01/20 00:00:00+00,4.6156522,-74.0883487,"Carrera 28A con Calle 18, sentido n?s",Los Mártires,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.0849842,4.73775160015557,5166,2025/01/20 00:00:00+00,4.7377516,-74.0849842,"Carrera 91 con Av Suba, sentido s?n",Suba,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.0512902,4.69546570015422,5167,2025/01/20 00:00:00+00,4.6954657,-74.0512902,Carrera 19A con Calle 109,Usaquén,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0960751,4.71478130015482,5168,2025/01/20 00:00:00+00,4.7147813,-74.0960751,"Carrera 91 con Calle 95, sentido s?n",Engativá,Choque simple,Automóvil particular (2)
-74.0818948,4.59975180015108,5169,2025/01/20 00:00:00+00,4.5997518,-74.0818948,Carrera 13 con Calle 9,Santa Fe,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.0660885999999,4.65573460015295,5170,2025/01/20 00:00:00+00,4.6557346,-74.0660886,"Carrera 17 con Calle 67, sentido s?n",Barrios Unidos,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0718952999999,4.6987551001543,5171,2025/01/20 00:00:00+00,4.6987551,-74.0718953,Diagonal 115A con Carrera 70C,Suba,Fallecido hospitalario,Camioneta (1) - Ciclista fallecido (1)
-74.119896,4.66601040015327,5172,2025/01/20 00:00:00+00,4.6660104,-74.119896,"Av La Esperanza con Carrera 75, sentido occ?or",Fontibón,Choque simple,Automóvil particular (1) - Bicicleta (1)
