X,Y,OBJECTID,Dirección_incidente,Localidad,Tipo_de_incidente,Actores_viales_implicados,Afectación_personas,COORDENADAY,COORDENADAX
-74.0579099999999,4.68458800000008,2807,Autopista Norte con Calle 95 ,Barrios Unidos,Choque simple,Tractocamión (1) - Automóvil particular (1) ,Sin lesionados,4.684588,-74.05791
-74.041356,4.70234100000005,2808,Carrera 15 con Calle 129 ,Usaquén,Choque con lesionado,Camión (1) - Automóvil particular (1) - Conductor lesionado (1),Con lesionados,4.702341,-74.041356
-74.084689,4.74170200000003,2809,Calle 147 con Carrera 91 ,Suba,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.741702,-74.084689
-74.078613,4.59832800000004,2810,"Carrera 10 con Calle 9, sentido s→n",La Candelaria,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.598328,-74.078613
-74.1627559999999,4.62136900000007,2811,Calle 42A sur con Carrera 79D ,Kennedy,Atropello,Motocicleta (1) - Peatón lesionado (2) ,Con lesionados,4.621369,-74.162756
-74.1092609999999,4.58928500000007,2812,"Av Primero de Mayo con Carrera 27, sentido or→occ",Antonio Nariño,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.589285,-74.109261
-74.111431,4.68537000000003,2813,"Calle 64D con Carrera 85, sentido or→occ",Engativá,Choque con lesionado,Taxi (1) - Ciclista lesionado (1) ,Con lesionados,4.68537,-74.111431
-74.169584,4.62566100000004,2814,"Calle 43A sur con Carrera 81H, sentido occ→or",Kennedy,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.625661,-74.169584
-74.1373839999999,4.55483800000007,2815,"Av Boyacá con Calle 66 sur, sentido s→n",Ciudad Bolívar,Choque simple,Taxi (1) - Motocicleta (1) ,Sin lesionados,4.554838,-74.137384
-74.049921,4.73240400000003,2816,"Autopista Norte con Calle 150, sentido n→s",Suba,Choque con lesionado,Automóvil particular (1) - Triciclo (1) - Conductor lesionado (1),Con lesionados,4.732404,-74.049921
-74.114995,4.69809300000003,2817,Carrera 96 con Calle 70 ,Engativá,Choque con lesionado,Bus SITP (1) - Ciclista lesionado (2) ,Con lesionados,4.698093,-74.114995
-74.0947609999999,4.61786600000005,2818,"Calle 13 con Carrera 34, sentido or→occ",Puente Aranda,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.617866,-74.094761
-74.1019899999999,4.56848100000008,2819,Carrera 10 con Calle 31 sur,Rafael Uribe Uribe,Choque simple,Camioneta (1) - Motocicleta (1) ,Sin lesionados,4.568481,-74.10199
-74.087632,4.60525600000005,2820,Calle 10 con Carrera 19A ,Los Mártires,Choque simple,Camión (1) - Motocicleta (1) ,Sin lesionados,4.605256,-74.087632
-74.121011,4.68026200000003,2821,Av Ciudad de Cali con Av El Dorado (Calle 26) ,Fontibón,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1) ,Con lesionados,4.680262,-74.121011
-74.066827,4.62189700000005,2822,"Av Carrera 7 con Calle 34, sentido s→n",Santa Fe,Choque simple,Bus SITP (1) - Taxi (1) ,Sin lesionados,4.621897,-74.066827
-74.1404699999999,4.58246500000007,2823,Calle 54 sur con Carrera 33 ,Tunjuelito,Choque con lesionado,Bus / buseta (1) - Ciclista lesionado (1) ,Con lesionados,4.582465,-74.14047
-74.0980509999999,4.74245200000007,2824,"Av Ciudad de Cali con Calle 139, sentido n→s",Suba,Atropello,Bus SITP (1) - Peatón lesionado (1) ,Con lesionados,4.742452,-74.098051
-74.0683969999999,4.59514300000006,2825,"Carrera 1 este con Calle 6, sentido s→n",La Candelaria,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.595143,-74.068397
-74.084822,4.64632200000005,2826,"Calle 53 con Carrera 46, sentido s→n",Teusaquillo,Choque simple,Bus SITP (1) - Camioneta (1) ,Sin lesionados,4.646322,-74.084822
-74.1158569999999,4.66121000000004,2827,"Av La Esperanza con Av Boyacá, sentido occ→or",Fontibón,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1) ,Con lesionados,4.66121,-74.115857
-74.107789,4.50901300000004,2828,"Carrera 5A con Calle 81 sur, sentido s→n",Usme,Choque con lesionado,Taxi (1) - Motociclista lesionado (1) ,Con lesionados,4.509013,-74.107789
-74.071758,4.60017900000003,2829,Carrera 5 con Calle 12C ,La Candelaria,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.600179,-74.071758
-74.088964,4.63183900000007,2830,Carrera 39 con Calle 25 ,Teusaquillo,Choque con lesionado,Motociclista lesionado (2)  ,Con lesionados,4.631839,-74.088964
-74.139709,4.55011000000007,2831,Carrera 17F con Calle 69 sur,Ciudad Bolívar,Atropello,Motocicleta (1) - Pasajero lesionado (1) ,Con lesionados,4.55011,-74.139709
-74.14055,4.61258000000004,2832,Av Boyacá con Calle 37 sur,Kennedy,Choque simple,Bus / buseta (1) - Taxi (1) ,Sin lesionados,4.61258,-74.14055
-74.083962,4.57926900000007,2833,Carrera 5 con Calle 8A sur,San Cristóbal,Choque simple,Automóvil particular (1) - Taxi (1) ,Sin lesionados,4.579269,-74.083962
-74.065297,4.74112200000008,2834,Av Boyacá con Calle 152B ,Suba,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.741122,-74.065297
-74.0549549999999,4.68165500000003,2835,Calle 94 con Carrera 20 ,Chapinero,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.681655,-74.054955
