X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.0932238999999,4.60269740000007,1833,"Carrera 24 con Calle 6 bis, sentido or→occ",Los Mártires,Choque simple,Taxi (1) - Automóvil particular (1),Sin lesionados,2025/06/06 00:00:00+00,4.6026974,-74.0932239
-74.1097907,4.61616530000003,1834,"Calle 3 con Carrera 41C, sentido or→occ",Puente Aranda,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.6161653,-74.1097907
-74.1008484,4.67071460000005,1835,"Av José Celestino Mutis con Carrera 50, sentido occ→or",Teusaquillo,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.6707146,-74.1008484
-74.0655925999999,4.63719600000007,1836,"Calle 50 con Carrera 13, sentido occ→or",Chapinero,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/06 00:00:00+00,4.637196,-74.0655926
-74.1530964,4.68067030000003,1837,"Calle 17 con Carrera 112B, sentido occ→or",Fontibón,Choque simple,Camión (1) - Bicitaxi (1),Sin lesionados,2025/06/06 00:00:00+00,4.6806703,-74.1530964
-74.1001764,4.68035670000006,1838,"Av Boyacá con Calle 48A, sentido s→n",Engativá,Manifestación,Peatón (20),Sin lesionados,2025/06/06 00:00:00+00,4.6803567,-74.1001764
-74.112496,4.59456820000003,1839,Av Primero de Mayo con Carrera 30,Puente Aranda,Choque simple,Motocicleta (2),Sin lesionados,2025/06/06 00:00:00+00,4.5945682,-74.112496
-74.1092211,4.59794860000005,1840,"Transversal 31 con Calle 12 sur, sentido s→n",Puente Aranda,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/06/06 00:00:00+00,4.5979486,-74.1092211
-74.0773768,4.62166880000007,1841,Av El Dorado (Calle 26) con Carrera 25,Teusaquillo,Choque simple,Camioneta (1) - Taxi (1),Sin lesionados,2025/06/06 00:00:00+00,4.6216688,-74.0773768
-74.0883135,4.51649790000005,1842,Calle 74A sur con Carrera 17 este,Usme,Manifestación,Peatón (10),Sin lesionados,2025/06/06 00:00:00+00,4.5164979,-74.0883135
-74.0924806,4.72247200000004,1843,"Carrera 93 con Calle 128A, sentido n→s",Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.722472,-74.0924806
-74.1373103,4.55928920000002,1844,"Carrera 18 bis con Calle 60G sur, sentido s→n",Ciudad Bolívar,Choque con lesionado,Volqueta (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5592892,-74.1373103
-74.0903876,4.63433500000002,1845,"NQS con Av El Dorado (Calle 26), sentido n→s",Teusaquillo,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.634335,-74.0903876
-74.125267,4.67204830000003,1846,Av Ciudad de Cali con Av La Esperanza,Fontibón,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.6720483,-74.125267
-74.0610139999999,4.64050240000006,1847,Calle 54A con Carrera 4A,Chapinero,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6405024,-74.061014
-74.0720919999999,4.71098860000006,1848,-,,,,,2025/06/06 00:00:00+00,4.7109886,-74.072092
-74.1051619,4.59993660000004,1849,"NQS con Calle 1C, sentido n→s",Puente Aranda,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5999366,-74.1051619
-74.1675437,4.62374330000006,1850,Carrera 81 con Av Ciudad de Villavicencio,Kennedy,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.6237433,-74.1675437
