X,Y,OBJECTID,FECHA_INCIDENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.1239338,4.65256830015281,1,2025/04/01 00:00:00+00,4.6525683,-74.1239338,"Av Boyacá con Calle 19A, sentido n?s",Fontibón,Choque simple,Automóvil particular (2)
-74.1720450999999,4.61651310015161,2,2025/04/01 00:00:00+00,4.6165131,-74.1720451,Av Agoberto Mejía con Calle 51B sur,Kennedy,Choque simple,Motocicleta (2)
-74.0568296,4.71591200015488,3,2025/04/01 00:00:00+00,4.715912,-74.0568296,Calle 129 con Carrera 50,Suba,Autolesionado,Motociclista lesionado (1)
-74.1134838,4.55708310014971,4,2025/04/01 00:00:00+00,4.5570831,-74.1134838,Carrera 5L con Calle 49D sur,Rafael Uribe Uribe,Choque simple,Taxi (1) - Motocicleta (1)
-74.1301735,4.68495610015385,5,2025/04/01 00:00:00+00,4.6849561,-74.1301735,Calle 25D con Carrera 99,Fontibón,Choque simple,Automóvil particular (2)
-74.0537624999999,4.69080420015407,6,2025/04/01 00:00:00+00,4.6908042,-74.0537625,Calle 104 con Carrera 21,Usaquén,Choque con objeto fijo,Taxi (1) - Árbol (1)
-74.0723599999999,4.58414420015056,7,2025/04/01 00:00:00+00,4.5841442,-74.07236,Carrera 5B este con Calle 2,Santa Fe,Fenómeno de remoción en masa,"Arena, grava, otros (1)"
-74.0778692,4.59022940015079,8,2025/04/01 00:00:00+00,4.5902294,-74.0778692,"Av Comuneros con Transversal 42, sentido or?occ",Puente Aranda,Choque simple,Camión (1) - Taxi (1)
-74.1573476,4.58052150015046,9,2025/04/01 00:00:00+00,4.5805215,-74.1573476,"Carrera 51 con Av Ciudad de Villavicencio, sentido s?n",Ciudad Bolívar,Choque simple,Bus / buseta (1) - Automóvil particular (1)
-74.1422866,4.58210590015052,10,2025/04/01 00:00:00+00,4.5821059,-74.1422866,Calle 56 sur con Carrera 33A,Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.112784,4.62769800015202,11,2025/04/01 00:00:00+00,4.627698,-74.112784,"Av Américas con Carrera 56, sentido occ?or",Puente Aranda,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.1884793,4.59426920015091,12,2025/04/01 00:00:00+00,4.5942692,-74.1884793,"Autopista Sur con Calle 56, sentido occ?or",Fuera perímetro,Autolesionado,Motociclista lesionado (1)
-74.0450336,4.75859440015627,13,2025/04/01 00:00:00+00,4.7585944,-74.0450336,"Autopista Norte con Calle 127, sentido n?s",Suba,"Caída de objetos en vía (árbol, cables, otros)",Escombros (1)
-74.1509507,4.67573690015358,14,2025/04/01 00:00:00+00,4.6757369,-74.1509507,"Av El Dorado (Calle 26) con Carrera 106, sentido occ?or",Fontibón,Choque simple,Camión (1) - Automóvil particular (1)
-74.0651655999999,4.75080590015601,15,2025/04/01 00:00:00+00,4.7508059,-74.0651656,"Av Boyacá con Calle 167, sentido s?n",Suba,Choque simple,Vehículo escolar (1) - Taxi (1)
-74.1346775,4.59763780015101,16,2025/04/01 00:00:00+00,4.5976378,-74.1346775,Calle 42 sur con Carrera 52C,Puente Aranda,Atropello,Motocicleta (1) - Peatón lesionado (1)
-74.1091443999999,4.64624650015264,17,2025/04/01 00:00:00+00,4.6462465,-74.1091444,"Av Carrera 68 con Av Américas, sentido s?n",Kennedy,Choque simple,Camión (2)
-74.091574,4.57254070015021,18,2025/04/01 00:00:00+00,4.5725407,-74.091574,Av Primero de Mayo con Carrera 6,San Cristóbal,Choque con lesionado,Bus / buseta (1) - Motociclista lesionado (1)
-74.1353857999999,4.64037820015241,19,2025/04/01 00:00:00+00,4.6403782,-74.1353858,Av Boyacá con Calle 10,Kennedy,Atropello,Motocicleta (1) - Peatón (1)
-74.0878288,4.6947594001542,20,2025/04/01 00:00:00+00,4.6947594,-74.0878288,"Av Calle 80 con Carrera 73, sentido occ?or",Engativá,Choque simple,Volqueta (1) - Automóvil particular (1)
-74.1216917,4.6158854001516,21,2025/04/01 00:00:00+00,4.6158854,-74.1216917,"Carrera 54 con Calle 2, sentido s?n",Puente Aranda,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1)
-74.1351657,4.66027400015309,22,2025/04/01 00:00:00+00,4.660274,-74.1351657,"Av Ciudad de Cali con Av Centenario (Calle 13), sentido s?n",Fontibón,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1)
