X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.09763,4.63787900000005,12,Av La Esperanza con Carrera 50,Teusaquillo,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.637879,-74.09763
-74.1140662999999,4.50762470000006,13,Av Caracas con Autopista al Llano,Usme,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.5076247,-74.1140663
-74.1926943,4.61237950000003,14,Calle 69 sur con Carrera 81I,Bosa,Choque con lesionado,Taxi (1) - Automóvil particular (1) - Conductor lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6123795,-74.1926943
-74.1001764,4.68035670000006,15,"Av Boyacá con Calle 12C, sentido s→n",Kennedy,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.0629961,4.65471800000006,16,"Av Caracas con Calle 68 sur, sentido s→n",Usme,Choque simple,Camión (1) - Bus articulado / biarticulado (1),Sin lesionados,2025/07/01 00:00:00+00,4.654718,-74.0629961
-74.0766907,4.61099380000007,17,"Carrera 16 con Calle 21, sentido s→n",Los Mártires,Choque con lesionado,Automóvil particular (1) - Carreta (1) - Conductor lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6109938,-74.0766907
-74.1528271999999,4.56791300000003,18,Diagonal 68A sur con Carrera 14T,Usme,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.567913,-74.1528272
-74.1310242,4.68997290000004,19,"Av El Dorado (Calle 26) con Carrera 103, sentido or→occ",Fontibón,Choque simple,Automóvil particular (3),Sin lesionados,2025/07/01 00:00:00+00,4.6899729,-74.1310242
-74.1814206999999,4.62211090000005,20,Av Ciudad de Cali con Av Bosa,Bosa,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6221109,-74.1814207
-74.0475868,4.69786810000005,21,Calle 18 con Carrera 116,Fontibón,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.6978681,-74.0475868
-74.1122114999999,4.54803630000004,22,Carrera 5A con Calle 49 bis sur,Rafael Uribe Uribe,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.5480363,-74.1122115
-74.1438792,4.63133200000004,23,"Av Américas con Carrera 75, sentido or→occ",Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.631332,-74.1438792
-74.1282876,4.63001370000006,24,Calle 58B sur con Carrera 69,Ciudad Bolívar,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6300137,-74.1282876
-74.1441325,4.60130970000006,25,"Calle 43A sur con Av Boyacá, sentido s→n",Kennedy,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6013097,-74.1441325
-74.1351657,4.66027400000007,26,Av Ciudad de Cali con Av Chile (Calle 72),Engativá,Choque con objeto fijo,Camión (1) - Poste semafórico (1),Sin lesionados,2025/07/01 00:00:00+00,4.660274,-74.1351657
-74.0984849,4.61680190000004,27,"Carrera 17 con Calle 12, sentido s→n",Los Mártires,"Caída de objetos en vía (árbol, cables, otros)",Cables (1),Sin lesionados,2025/07/01 00:00:00+00,4.6168019,-74.0984849
-74.13431,4.58537000000007,28,"Av Gaitán Cortés con Calle 52A sur, sentido s→n",Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.58537,-74.13431
-74.0685425999999,4.72379750000005,29,Carrera 106 con Calle 132A,Suba,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7237975,-74.0685426
-74.1808578,4.60908450000005,30,Av Bosa con Av Agoberto Mejía,Bosa,Choque simple,Automóvil particular (2),,2025/07/01 00:00:00+00,4.6090845,-74.1808578
-74.0624236,4.66339470000003,31,Carrera 20B con Av Chile (Calle 72),Barrios Unidos,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.6633947,-74.0624236
-74.1927479999999,4.61275030000007,32,Calle 69 sur con Carrera 82,Bosa,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6127503,-74.192748
-74.1084724999999,4.50380560000002,33,Carrera 13B este con Calle 89 sur,Usme,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.5038056,-74.1084725
-74.124673,4.72609050000005,34,"Av Calle 80 con Carrera 119, sentido occ→or",Engativá,Choque simple,Volqueta (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.7260905,-74.124673
-74.1568166,4.65366250000005,35,Carrera 92 con Calle 8,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) - Conductor lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6536625,-74.1568166
-74.0719594999999,4.60983350000004,36,"Av Carrera 10 con Calle 23, sentido s→n",Santa Fe,Caida de ocupante,Bus articulado / biarticulado (1) - Pasajero lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6098335,-74.0719595
-74.1310242,4.68997290000004,37,"Av El Dorado (Calle 26) con Carrera 103, sentido or→occ",Engativá,Choque simple,Camión (1) - Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6899729,-74.1310242
-74.1754066999999,4.59657400000003,38,"Autopista Sur con Carrera 75, sentido occ→or",Ciudad Bolívar,Choque simple,Bus SITP (1) - Camioneta (1),Sin lesionados,2025/07/01 00:00:00+00,4.596574,-74.1754067
-74.1001764,4.68035670000006,39,"Carrera 72 con Calle 6, sentido s→n",Kennedy,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.1082049,4.59320680000008,40,"Calle 17A sur con Carrera 29A, sentido occ→or",Antonio Nariño,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.5932068,-74.1082049
-74.0706701,4.70408820000006,41,"Av Suba con Calle 130, sentido s→n",Suba,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7040882,-74.0706701
-74.0430512999999,4.76972410000008,42,"Autopista Norte con Calle 192, sentido s→n",Usaquén,Choque simple,Camioneta (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.7697241,-74.0430513
-74.0547643,4.70693250000005,43,"Carrera 89 con Calle 127, sentido s→n",Suba,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7069325,-74.0547643
-74.1774224,4.59676860000008,44,Autopista Sur con Av Bosa,Ciudad Bolívar,Falla semafórica,Intersección semafórica (2),Sin lesionados,2025/07/01 00:00:00+00,4.5967686,-74.1774224
-74.0273448,4.76897070000007,45,Av Carrera 7 con Calle 192,Usaquén,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),Sin lesionados,2025/07/01 00:00:00+00,4.7689707,-74.0273448
-74.1694272,4.69468110000003,46,"Av Centenario (Calle 13) con Carrera 137, sentido occ→or",Fontibón,Choque simple,Bus / buseta (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.6946811,-74.1694272
-74.0916771,4.72755240000004,47,Transversal 76 con Calle 130,Suba,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7275524,-74.0916771
-74.1169432999999,4.62869280000007,48,"Av Américas con Carrera 62, sentido occ→or",Puente Aranda,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6286928,-74.1169433
-74.0539994,4.74434230000003,49,"Calle 162 con Carrera 91, sentido occ→or",Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7443423,-74.0539994
-74.1527336999999,4.63894710000005,50,Calle 6B con Carrera 81B,Kennedy,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),Sin lesionados,2025/07/01 00:00:00+00,4.6389471,-74.1527337
-74.0719594999999,4.60983350000004,51,Av Carrera 10 con Calle 23,Santa Fe,Caida de ocupante,Pasajero lesionado (1),,2025/07/01 00:00:00+00,4.6098335,-74.0719595
-74.0835408,4.56891060000004,52,Carrera 3G bis este con Calle 59 sur,Rafael Uribe Uribe,Fenómeno de remoción en masa,"Arena, grava, otros (1)",Sin lesionados,2025/07/01 00:00:00+00,4.5689106,-74.0835408
-74.0614926,4.71307910000007,53,"Calle 128 con Carrera 53C, sentido or→occ",Suba,Choque con lesionado,Camión (1) - Ciclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7130791,-74.0614926
-74.109178,4.62910180000006,54,Av Centenario (Calle 13) con Av Boyacá,Kennedy,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6291018,-74.109178
-74.1276114999999,4.61335440000005,55,"Av Carrera 68 con Calle 18 sur, sentido s→n",Kennedy,Varado,Bus SITP (1),Sin lesionados,2025/07/01 00:00:00+00,4.6133544,-74.1276115
-74.1103098999999,4.62221580000005,56,Carrera 50 con Av Américas,Puente Aranda,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6222158,-74.1103099
-74.061224,4.65913700000004,57,Av Chile (Calle 72) con Carrera 20B,Barrios Unidos,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.659137,-74.061224
-74.1446771,4.59538640000005,58,"Av Boyacá con Autopista Sur, sentido n→s",Kennedy,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.5953864,-74.1446771
-74.0547643,4.70693250000005,59,Calle 127 con Carrera 9,Usaquén,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),Sin lesionados,2025/07/01 00:00:00+00,4.7069325,-74.0547643
-74.0726713999999,4.68897610000005,60,Av Carrera 68 con Calle 99,Suba,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6889761,-74.0726714
-74.0903876,4.63433500000002,61,"NQS con Av El Dorado (Calle 26), sentido s→n",Teusaquillo,Varado,Volqueta (1),Sin lesionados,2025/07/01 00:00:00+00,4.634335,-74.0903876
-74.0699911999999,4.64966430000004,62,"NQS con Calle 62, sentido s→n",Teusaquillo,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6496643,-74.0699912
-74.1171337,4.59121300000004,63,"Carrera 30 con Calle 32 sur, sentido s→n",Antonio Nariño,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.591213,-74.1171337
-74.1098334,4.69115350000004,64,Calle 68 con Carrera 87,Engativá,Choque simple,Automóvil particular (1) - Taxi (1),Sin lesionados,2025/07/01 00:00:00+00,4.6911535,-74.1098334
-74.0614957,4.70989290000006,65,Calle 127A con Carrera 64,Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7098929,-74.0614957
-74.0791675999999,4.70022220000004,66,Av Pepe Sierra con Carrera 71C,Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7002222,-74.0791676
-74.0547643,4.70693250000005,67,Calle 127 con Carrera 81,Suba,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7069325,-74.0547643
-74.1310242,4.68997290000004,68,"Av El Dorado (Calle 26) con Carrera 103, sentido or→occ",Fontibón,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6899729,-74.1310242
-74.0466671,4.75317820000004,69,"Autopista Norte con Calle 100, sentido s→n",Usaquén,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7531782,-74.0466671
-74.0788166999999,4.60529940000004,70,"Av Caracas con Av Boyacá, sentido s→n",Usme,Varado,Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.6052994,-74.0788167
-74.0695438,4.62782210000006,71,"Av Américas con Transversal 39A bis, sentido occ→or",Puente Aranda,"Material sólido en vía (arena, grava, otros)","Arena, grava, otros (1)",Sin lesionados,2025/07/01 00:00:00+00,4.6278221,-74.0695438
-74.1001764,4.68035670000006,72,"Av Boyacá con Av Guayacanes, sentido s→n",Kennedy,Varado,Tractocamión (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.1588781999999,4.64717750000005,73,"Av Guayacanes con Calle 6A, sentido s→n",Kennedy,Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/07/01 00:00:00+00,4.6471775,-74.1588782
-74.1834370999999,4.63776700000005,74,Carrera 93D con Calle 50 sur,Bosa,Choque con lesionado,Taxi (1) - Ciclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.637767,-74.1834371
-74.0596265999999,4.67461750000007,75,"Autopista Norte con Calle 86A, sentido s→n",Barrios Unidos,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6746175,-74.0596266
-74.0792823,4.63918680000006,76,NQS con Calle 92,Barrios Unidos,Choque con lesionado,Motociclista lesionado (3),Con lesionados,2025/07/01 00:00:00+00,4.6391868,-74.0792823
-74.0726713999999,4.68897610000005,77,"Av Carrera 68 con Calle 99, sentido n→s",Suba,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6889761,-74.0726714
-74.0488723,4.73464380000007,78,"Autopista Norte con Calle 152, sentido s→n",Usaquén,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.7346438,-74.0488723
-74.112784,4.62769800000007,79,"Av Américas con Carrera 56, sentido occ→or",Puente Aranda,Choque con lesionado,Motocicleta (1) - Bicicleta eléctrica (1) - Ciclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.627698,-74.112784
-74.0624511,4.63222460000003,80,"Carrera 5 con Calle 46, sentido n→s",Chapinero,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6322246,-74.0624511
-74.1808578,4.60908450000005,81,"Av Bosa con Av Agoberto Mejía, sentido or→occ",Bosa,Choque con lesionado,Camioneta (1) - Conductor lesionado (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6090845,-74.1808578
-74.1704862,4.61199680000004,82,Av Américas con Carrera 78K,Kennedy,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.6119968,-74.1704862
-74.0860329,4.67760950000007,83,"Av Chile (Calle 72) con Carrera 96, sentido or→occ",Engativá,Autolesionado,Motocicleta (1) - Acompañante lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6776095,-74.0860329
-74.0971959,4.59252610000004,84,Calle 5 con Carrera 24,Los Mártires,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.5925261,-74.0971959
-74.1138198,4.59359400000005,85,"Carrera 30 con Calle 28 sur, sentido s→n",Antonio Nariño,Choque con lesionado,Motocicleta (3) - Motociclista lesionado (2),Con lesionados,2025/07/01 00:00:00+00,4.593594,-74.1138198
-74.0903876,4.63433500000002,86,"Av El Dorado (Calle 26) con Av Carrera 68, sentido or→occ",Engativá,Varado,Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.634335,-74.0903876
-74.0903876,4.63433500000002,87,"Av Ciudad de Cali con Av El Dorado (Calle 26), sentido n→s",Fontibón,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.634335,-74.0903876
-74.1303440999999,4.66225580000003,88,"Carrera 82 con Calle 20, sentido s→n",Fontibón,Choque con lesionado,Vehículo de servicio oficial (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6622558,-74.1303441
-74.1029498999999,4.65219300000007,89,"Av El Dorado (Calle 26) con Carrera 51, sentido or→occ",Teusaquillo,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.652193,-74.1029499
-74.1224870999999,4.61167510000007,90,Transversal 53 con Calle 17 sur,Puente Aranda,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6116751,-74.1224871
-74.1001764,4.68035670000006,91,"Av Boyacá con Calle 20, sentido s→n",Fontibón,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.1689029,4.59566590000003,92,"Carrera 73 con Autopista Sur, sentido s→n",Ciudad Bolívar,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.5956659,-74.1689029
-74.1105146,4.64346220000004,93,"Av El Dorado (Calle 26) con Carrera 66, sentido occ→or",Teusaquillo,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6434622,-74.1105146
-74.1517855,4.61323390000007,94,Carrera 73 con Calle 40C sur,Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6132339,-74.1517855
-74.0467558,4.67606550000005,95,Calle 127 con Carrera 11,Usaquén,"Caída de objetos en vía (árbol, cables, otros)",Árbol (1),,2025/07/01 00:00:00+00,4.6760655,-74.0467558
-74.109178,4.62910180000006,96,"Av Centenario (Calle 13) con Carrera 50, sentido occ→or",Puente Aranda,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6291018,-74.109178
-74.0612576,4.69135780000005,97,Carrera 91 con Calle 103B,Suba,Atropello,Motociclista lesionado (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6913578,-74.0612576
-74.1453905,4.59092080000005,98,Av Boyacá con Diagonal 51 sur,Tunjuelito,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.5909208,-74.1453905
-74.0466671,4.75317820000004,99,"Autopista Norte con Calle 191, sentido n→s",Suba,Choque simple,Camión (1) - Motocicleta (2),Sin lesionados,2025/07/01 00:00:00+00,4.7531782,-74.0466671
-74.1365732,4.67725860000007,100,"Carrera 97 con Calle 23, sentido s→n",Fontibón,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6772586,-74.1365732
-74.0303817,4.69789730000002,101,"Av Carrera 7 con Calle 123A, sentido s→n",Usaquén,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6978973,-74.0303817
-74.1399355,4.60809250000005,102,Carrera 68M con Calle 38D sur,Kennedy,Atropello,Tractocamión (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6080925,-74.1399355
-74.1244918,4.56882460000003,103,Diagonal 48 sur con Carrera 13L,Rafael Uribe Uribe,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.5688246,-74.1244918
-74.1926402,4.62954280000002,104,"Calle 59C sur con Av Guayacanes, sentido or→occ",Bosa,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6295428,-74.1926402
-74.1605249,4.59874250000007,105,Carrera 69A con Calle 57F sur,Bosa,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.5987425,-74.1605249
-74.1689029,4.59566590000003,106,"Carrera 73 con Autopista Sur, sentido or→occ",Ciudad Bolívar,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.5956659,-74.1689029
-74.099384,4.65265030000006,107,"Av El Dorado (Calle 26) con Carrera 66A, sentido occ→or",Fontibón,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6526503,-74.099384
-74.1001764,4.68035670000006,108,"Av Boyacá con Calle 127, sentido n→s",Suba,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.0587346999999,4.74273120000004,109,"Autopista Norte con Calle 160, sentido s→n",Usaquén,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7427312,-74.0587347
-74.1472216,4.64886740000003,110,"Av Ciudad de Cali con Calle 10, sentido s→n",Kennedy,Cierre evento controlado,Camión (1),Sin lesionados,2025/07/01 00:00:00+00,4.6488674,-74.1472216
-74.1472216,4.64886740000003,111,"Av Ciudad de Cali con Calle 10, sentido s→n",Kennedy,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6488674,-74.1472216
-74.0481920999999,4.74283000000003,112,"Autopista Norte con Calle 153, sentido s→n",Usaquén,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.74283,-74.0481921
-74.0521615,4.65934810000005,113,"Av Carrera 7 con Calle 77, sentido s→n",Chapinero,Varado,Volqueta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6593481,-74.0521615
-74.1001764,4.68035670000006,114,"Av Boyacá con Carrera 28, sentido n→s",Tunjuelito,Daño en pavimento,Alcantarilla destapada (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.0752064,4.60053290000008,115,"Carrera 8 con Calle 12B, sentido n→s",Santa Fe,Manifestación,Peatón (30),Sin lesionados,2025/07/01 00:00:00+00,4.6005329,-74.0752064
-74.1199055,4.59424120000006,116,"Autopista Sur con Calle 35 sur, sentido s→n",Antonio Nariño,Varado,Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.5942412,-74.1199055
-74.0722598,4.59119150000004,117,"Calle 6D con Carrera 1, sentido or→occ",La Candelaria,Choque simple,Camioneta (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.5911915,-74.0722598
-74.1080997999999,4.66673310000004,118,"Autopista Sur con Carrera 71, sentido occ→or",Ciudad Bolívar,Varado,Camioneta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6667331,-74.1080998
-74.1206022,4.64491540000006,119,Calle 17A con Carrera 69,Fontibón,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.6449154,-74.1206022
-74.1091443999999,4.64624650000007,120,"Av Primero de Mayo con Av Carrera 68, sentido occ→or",Kennedy,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6462465,-74.1091444
-74.1615088,4.64438410000002,121,"Av Ciudad de Cali con Av Guayacanes, sentido s→n",Kennedy,Choque simple,Tractocamión (1) - Bus SITP (1),Sin lesionados,2025/07/01 00:00:00+00,4.6443841,-74.1615088
-74.1091443999999,4.64624650000007,122,"Av Américas con Av Carrera 68, sentido occ→or",Kennedy,Varado,Taxi (1),Sin lesionados,2025/07/01 00:00:00+00,4.6462465,-74.1091444
-74.0855806,4.56951620000007,123,Calle 20 sur con Carrera 3 este,San Cristóbal,Choque simple,Bus SITP (1) - Taxi (1),Sin lesionados,2025/07/01 00:00:00+00,4.5695162,-74.0855806
-74.1787014,4.59677660000006,124,"Autopista Sur con Carrera 76, sentido occ→or",Ciudad Bolívar,Daño en pavimento,Alcantarilla destapada (1),Sin lesionados,2025/07/01 00:00:00+00,4.5967766,-74.1787014
-74.0288345,4.69957250000004,125,"Av Carrera 7 con Calle 124, sentido n→s",Usaquén,Choque simple,Automóvil particular (2),Sin lesionados,2025/07/01 00:00:00+00,4.6995725,-74.0288345
-74.1113245,4.71989560000003,126,"Carrera 104 con Calle 86, sentido s→n",Engativá,Choque con lesionado,Camioneta (1) - Motocicleta (1) - Acompañante lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7198956,-74.1113245
-74.0860329,4.67760950000007,127,Av Chile (Calle 72) con Carrera 28B,Barrios Unidos,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.6776095,-74.0860329
-74.1113245,4.71989560000003,128,Carrera 104 con Calle 86,Engativá,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),,2025/07/01 00:00:00+00,4.7198956,-74.1113245
-74.0707983,4.61595570000003,129,Calle 28 con Carrera 13A,Santa Fe,Vehículo mal estacionado,Automóvil particular (10),Sin lesionados,2025/07/01 00:00:00+00,4.6159557,-74.0707983
-74.0498242,4.68089160000005,130,Carrera 15 con Calle 95,Chapinero,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/07/01 00:00:00+00,4.6808916,-74.0498242
-74.1260887999999,4.68271300000004,131,Carrera 96 con Calle 25F,Fontibón,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.682713,-74.1260888
