X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.0885765,4.63305450000007,1,Calle 25B con Carrera 39A,Teusaquillo,Atropello,Motociclista lesionado (1) - Animal de compañía (1),Con lesionados,2025/07/01 00:00:00+00,4.6330545,-74.0885765
-74.1001764,4.68035670000006,2,"Av Boyacá con Calle 37D sur, sentido n→s",Kennedy,Choque simple,Taxi (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.6803567,-74.1001764
-74.0466494999999,4.75350600000007,3,"Calle 170 con Autopista Norte, sentido or→occ",Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.753506,-74.0466495
-74.0862265,4.71994930000005,4,"Calle 128A con Carrera 86C, sentido or→occ",Suba,Atropello,Camioneta (1) - Peatón lesionado (1),Con lesionados,2025/07/01 00:00:00+00,4.7199493,-74.0862265
-74.1441791,4.61542950000006,5,Av Boyacá con Calle 37A sur,Kennedy,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/07/01 00:00:00+00,4.6154295,-74.1441791
-74.1623294,4.68489750000003,6,Av Centenario (Calle 13) con Carrera 123,Fontibón,Choque simple,Tractocamión (1) - Camioneta (1),Sin lesionados,2025/07/01 00:00:00+00,4.6848975,-74.1623294
-74.1084377999999,4.57629100000003,7,Av Carrera 13 con Calle 30,Santa Fe,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/07/01 00:00:00+00,4.576291,-74.1084378
-74.0844104,4.60534580000007,8,Carrera 18 con Calle 12,Los Mártires,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6053458,-74.0844104
-74.0788166999999,4.60529940000004,9,Av Caracas con Av Comuneros,Los Mártires,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6052994,-74.0788167
-74.1181372999999,4.62879130000005,10,Av Américas con Transversal 39A,Puente Aranda,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.6287913,-74.1181373
-74.0893576,4.57109910000003,11,Av Primero de Mayo con Carrera 3 este,San Cristóbal,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/07/01 00:00:00+00,4.5710991,-74.0893576
