X,Y,OBJECTID,FECHA_INDICENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.1019702999999,4.63386200015218,1,2025/03/01 00:00:00+00,4.633862,-74.1019703,"Carrera 50 con Calle 21, sentido n?s",Puente Aranda,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1)
-74.1131,4.75014570015602,2,2025/03/01 00:00:00+00,4.7501457,-74.1131,Carrera 139 con Calle 143,Suba,Choque con lesionado,Motociclista lesionado (2)
-74.1515406999999,4.54139070014917,3,2025/03/01 00:00:00+00,4.5413907,-74.1515407,Calle 76 sur con Carrera 18R,Ciudad Bolívar,Choque con lesionado,Taxi (1) - Motociclista lesionado (1)
-74.0798694,4.60382570015125,4,2025/03/01 00:00:00+00,4.6038257,-74.0798694,Av Jiménez (Calle 13) con NQS,Puente Aranda,Choque con lesionado,Taxi (2) - Motociclista lesionado (1)
-74.0620438999999,4.6425155001525,5,2025/03/01 00:00:00+00,4.6425155,-74.0620439,Av Carrera 7 con Calle 57,Chapinero,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0999651,4.73591790015554,6,2025/03/01 00:00:00+00,4.7359179,-74.0999651,Av Ciudad de Cali con Calle 132,Suba,Choque simple,Camión (1) - Automóvil particular (1)
-74.0966715,4.69328690015412,7,2025/03/01 00:00:00+00,4.6932869,-74.0966715,Carrera 76 con Calle 75,Engativá,Autolesionado,Motociclista lesionado (1)
-74.1300668,4.64613250015259,8,2025/03/01 00:00:00+00,4.6461325,-74.1300668,Av Boyacá con Calle 12B,Kennedy,Autolesionado,Motociclista lesionado (1)
-74.0896913,4.59952230015109,9,2025/03/01 00:00:00+00,4.5995223,-74.0896913,Av Comuneros con Carrera 31A,Puente Aranda,Atropello,Automóvil particular (1) - Peatón lesionado (1)
-74.0629261,4.66817190015333,10,2025/03/01 00:00:00+00,4.6681719,-74.0629261,"Av Calle 80 con Carrera 23, sentido or?occ",Barrios Unidos,Autolesionado,Motociclista lesionado (1)
-74.1355652,4.61762090015165,11,2025/03/01 00:00:00+00,4.6176209,-74.1355652,"Calle 8 sur con Carrera 71A, sentido or?occ",Kennedy,Autolesionado,Motociclista lesionado (1)
-74.0318829999999,4.74443730015583,12,2025/03/01 00:00:00+00,4.7444373,-74.031883,Carrera 9 con Calle 166,Usaquén,Choque con objeto fijo,Automóvil particular (1) - Andén (1)
-74.0202975999999,4.67000750015339,13,2025/03/01 00:00:00+00,4.6700075,-74.0202976,"Av Carrera 7 con Calle 100, sentido s?n",Usaquén,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Acompañante lesionado (1) - Andén (1)
-74.1351657,4.66027400015309,14,2025/03/01 00:00:00+00,4.660274,-74.1351657,"Av Américas con Av Ciudad de Cali, sentido or?occ",Kennedy,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Acompañante lesionado (1) - Separador (1)
-74.1252071,4.66700100015326,15,2025/03/01 00:00:00+00,4.667001,-74.1252071,Carrera 82 con Calle 23B,Fontibón,Atropello,Automóvil particular (1) - Peatón lesionado (1)
-74.0792823,4.63918680015239,16,2025/03/01 00:00:00+00,4.6391868,-74.0792823,NQS con Calle 3,Puente Aranda,Choque simple,Volqueta (1) - Automóvil particular (1)
-74.0864233,4.58682460015069,17,2025/03/01 00:00:00+00,4.5868246,-74.0864233,Transversal 80 con Calle 2 sur,Kennedy,Atropello,Automóvil particular (1) - Peatón lesionado (1)
-74.1555175,4.57301990015026,18,2025/03/01 00:00:00+00,4.5730199,-74.1555175,Calle 68F sur con Carrera 31A,Ciudad Bolívar,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Poste (1)
-74.1548242,4.5758213001503,19,2025/03/01 00:00:00+00,4.5758213,-74.1548242,Av Ciudad de Villavicencio con Carrera 47,Ciudad Bolívar,Atropello,Bus / buseta (1) - Peatón fallecido (1)
-74.0860277,4.72546830015518,20,2025/03/01 00:00:00+00,4.7254683,-74.0860277,Calle 130 bis sur con Carrera 14,Usme,Choque con objeto fijo,Taxi (1) - Pared / muro (1)
-74.1033284,4.71215930015476,21,2025/03/01 00:00:00+00,4.7121593,-74.1033284,Carrera 95 con Calle 86,Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1008484,4.67071460015341,22,2025/03/01 00:00:00+00,4.6707146,-74.1008484,Av José Celestino Mutis con Carrera 36,Teusaquillo,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0692936999999,4.63202790015213,23,2025/03/01 00:00:00+00,4.6320279,-74.0692937,Calle 44 con Carrera 15A,Teusaquillo,Autolesionado,Motociclista lesionado (1)
-74.0865539,4.61658850015163,24,2025/03/01 00:00:00+00,4.6165885,-74.0865539,"Av Calle 19 con Carrera 28, sentido n?s",Los Mártires,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1416816999999,4.59220050015085,25,2025/03/01 00:00:00+00,4.5922005,-74.1416817,Diagonal 49 sur con Carrera 54,Tunjuelito,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0750798,4.61103030015145,26,2025/03/01 00:00:00+00,4.6110303,-74.0750798,"NQS con Calle 22, sentido n?s",Puente Aranda,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1181372999999,4.62879130015204,27,2025/03/01 00:00:00+00,4.6287913,-74.1181373,"Av Américas con Carrera 49, sentido or?occ",Puente Aranda,Autolesionado,Motociclista lesionado (1)
-74.0903876,4.63433500015219,28,2025/03/01 00:00:00+00,4.634335,-74.0903876,Av El Dorado (Calle 26) con Carrera 17,Teusaquillo,Choque con lesionado,Camión (1) - Automóvil particular (1) - Conductor lesionado (1)
